Data,Último,Abertura,Máxima,Mínima,Var%
14.05.2021,"5,2728","5,309","5,309","5,2442","-0,68%"
13.05.2021,"5,309","5,3043","5,3331","5,2519","0,05%"
12.05.2021,"5,3061","5,2227","5,3198","5,2105","1,63%"
11.05.2021,"5,2208","5,2273","5,2823","5,2031","-0,12%"
10.05.2021,"5,2272","5,234","5,2526","5,1964","-0,18%"
07.05.2021,"5,2368","5,2768","5,2952","5,2025","-0,74%"
06.05.2021,"5,276","5,3573","5,3752","5,2567","-1,46%"
05.05.2021,"5,3542","5,4455","5,4478","5,3512","-1,64%"
04.05.2021,"5,4435","5,4398","5,4843","5,4113","0,03%"
03.05.2021,"5,442","5,436","5,4561","5,3727","0,10%"
30.04.2021,"5,4366","5,3383","5,4489","5,3351","1,86%"
29.04.2021,"5,3375","5,3428","5,3798","5,3274","-0,10%"
28.04.2021,"5,343","5,4526","5,4561","5,3429","-1,95%"
27.04.2021,"5,449","5,4366","5,4673","5,4097","0,23%"
26.04.2021,"5,4364","5,4757","5,4904","5,4318","-0,71%"
23.04.2021,"5,4751","5,4446","5,524","5,4239","0,56%"
22.04.2021,"5,4448","5,5669","5,5669","5,4373","-2,23%"
21.04.2021,"5,569","5,5692","5,5695","5,5692","0,01%"
20.04.2021,"5,5687","5,5461","5,5883","5,5022","0,41%"
19.04.2021,"5,5461","5,5873","5,6224","5,5262","-0,76%"
16.04.2021,"5,5883","5,6142","5,6781","5,5658","-0,50%"
15.04.2021,"5,6162","5,654","5,6603","5,5951","-0,64%"
14.04.2021,"5,6526","5,718","5,7359","5,6452","-1,12%"
13.04.2021,"5,7166","5,734","5,7562","5,6629","-0,29%"
12.04.2021,"5,7333","5,6822","5,7425","5,63","0,90%"
09.04.2021,"5,6821","5,5682","5,6852","5,5665","1,98%"
08.04.2021,"5,572","5,6136","5,6174","5,5381","-0,75%"
07.04.2021,"5,6143","5,5904","5,655","5,5474","0,43%"
06.04.2021,"5,5904","5,6642","5,6698","5,5742","-1,29%"
05.04.2021,"5,6632","5,71","5,7101","5,6323","-0,78%"
02.04.2021,"5,7075","5,708","5,708","5,708","0,01%"
01.04.2021,"5,7071","5,633","5,7276","5,608","1,34%"
31.03.2021,"5,6315","5,774","5,7768","5,6214","-2,48%"
30.03.2021,"5,7745","5,7824","5,8034","5,72","-0,09%"
29.03.2021,"5,7799","5,755","5,8069","5,7359","0,40%"
26.03.2021,"5,7566","5,6473","5,7589","5,6448","1,93%"
25.03.2021,"5,6475","5,6213","5,6821","5,6174","0,47%"
24.03.2021,"5,6209","5,5216","5,6432","5,4891","1,80%"
23.03.2021,"5,5214","5,5045","5,5509","5,464","0,31%"
22.03.2021,"5,5045","5,5087","5,5483","5,4936","0,23%"
19.03.2021,"5,4917","5,5609","5,564","5,4482","-1,24%"
18.03.2021,"5,5604","5,586","5,586","5,4763","-0,41%"
17.03.2021,"5,5832","5,6249","5,6827","5,5688","-0,74%"
16.03.2021,"5,6246","5,6252","5,6344","5,5574","0,16%"
15.03.2021,"5,6156","5,5501","5,6568","5,531","1,15%"
12.03.2021,"5,5518","5,5362","5,5873","5,5324","0,29%"
11.03.2021,"5,5357","5,6078","5,6215","5,5257","-2,40%"
10.03.2021,"5,672","5,7902","5,8144","5,6443","-2,25%"
